"Seed","Imputation","Sensitivity_Observed","Specificity_Observed","Sensitivity_Forecast","Specificity_Forecast","Sensitivity_Overall","Specificity_Overall"
62,1,0.589189189189189,0.792233009708738,0.861111111111111,0.686440677966102,0.774526678141136,0.749136939010357
63,1,0.664739884393064,0.990512333965844,0.789592760180995,0.993506493506494,0.754471544715447,0.991616766467066
64,1,0.625,0.982824427480916,0.927672955974843,0.990740740740741,0.819838056680162,0.986401673640167
65,1,0.560240963855422,0.99063670411985,0.864197530864197,0.997101449275362,0.775831873905429,0.993174061433447
66,1,0.591836734693878,0.972875226039783,0.853185595567867,0.920308483290488,0.77755905511811,0.951167728237792
67,1,0.469387755102041,0.971760797342193,0.802047781569966,0.973741794310722,0.718670076726343,0.97261567516525
68,1,0.626436781609195,0.994296577946768,0.850136239782016,0.989556135770235,0.77818853974122,0.992299229922992
69,1,0.633986928104575,0.976234003656307,0.866459627329193,0.969626168224299,0.791578947368421,0.973333333333333
70,1,0.571428571428571,0.96843853820598,0.863157894736842,0.956989247311828,0.788511749347259,0.963448922211809
71,1,0.479674796747967,0.977469670710572,0.862533692722372,0.981530343007916,0.767206477732793,0.97907949790795
72,1,0.686363636363636,0.9875,0.876484560570071,0.984802431610942,0.811232449297972,0.986402966625464
73,1,0.590361445783133,0.98689138576779,0.8375,0.962857142857143,0.765017667844523,0.97737556561086
74,1,0.563492063492063,0.998257839721254,0.854166666666667,0.989177489177489,0.765700483091787,0.994208494208494
75,1,0.529953917050691,0.975155279503106,0.920091324200913,0.967948717948718,0.790839694656489,0.972327044025157
76,1,0.616822429906542,0.983539094650206,0.920792079207921,0.976878612716763,0.815533980582524,0.980769230769231
77,1,0.595238095238095,0.98780487804878,0.834890965732087,0.983682983682984,0.767337807606264,0.986041874376869
78,1,0.507936507936508,0.753424657534247,0.860103626943005,0.574175824175824,0.744347826086956,0.678857142857143
79,1,0.609756097560976,0.983838383838384,0.829268292682927,0.986622073578595,0.760670731707317,0.984886649874055
80,1,0.583815028901734,0.988614800759013,0.855297157622739,0.991735537190083,0.771428571428571,0.989887640449438
81,1,0.666666666666667,0.996131528046422,0.88860103626943,0.96978021978022,0.817223198594025,0.985244040862656
82,1,0.558139534883721,0.991243432574431,0.814404432132964,0.989717223650386,0.746938775510204,0.990625
83,1,0.669811320754717,0.987704918032787,0.894736842105263,0.963636363636364,0.825327510917031,0.979030144167759
84,1,0.557894736842105,0.998347107438017,0.795698924731183,0.993630573248408,0.735294117647059,0.996282527881041
